Class,CloseTime,30m0,30mvolume0,30m1,30mvolume1,30m2,30mvolume2,30m3,30mvolume3,30m4,30mvolume4,30m5,30mvolume5,30m6,30mvolume6,30m7,30mvolume7,30m8,30mvolume8,30m9,30mvolume9,30m10,30mvolume10,30m11,30mvolume11,30m12,30mvolume12,30m13,30mvolume13,30m14,30mvolume14,30m15,30mvolume15,4h0,4hvolume0,4h1,4hvolume1,4h2,4hvolume2,4h3,4hvolume3,4h4,4hvolume4,4h5,4hvolume5,4h6,4hvolume6,4h7,4hvolume7,4h8,4hvolume8,4h9,4hvolume9,4h10,4hvolume10,4h11,4hvolume11,4h12,4hvolume12,4h13,4hvolume13,4h14,4hvolume14,4h15,4hvolume15
Push,1503269999999,298.19,273.95885,298.4,148.45268,298.13,180.59589,296.39,172.95525,297.27,140.97868,295.39,119.09137,297.88,133.73505,298.2,12.08936,298.57,12.5655,298.56,28.44071,296.88,55.48199,296.78,45.22972,296.46,28.2409,295.22,45.78372,295.1,0.00959,295.16,0.0062,297.88,361.56695,295.1,67.3647,295.0,240.75968,292.08,252.26228,292.41,68.40092,290.91,73.99638,293.31,127.38589,288.64,288.29994,282.58,1139.03045,290.16,235.2921,293.22,282.19297,293.96,1922.01458,293.83,1620.71499,298.8,1358.99471,307.78,1213.01283,306.24,1732.52616
Push,1503273599999,299.1,183.84466,298.76,299.9068,298.19,273.95885,298.4,148.45268,298.13,180.59589,296.39,172.95525,297.27,140.97868,295.39,119.09137,297.88,133.73505,298.2,12.08936,298.57,12.5655,298.56,28.44071,296.88,55.48199,296.78,45.22972,296.46,28.2409,295.22,45.78372,299.1,1519.78418,297.88,361.56695,295.1,67.3647,295.0,240.75968,292.08,252.26228,292.41,68.40092,290.91,73.99638,293.31,127.38589,288.64,288.29994,282.58,1139.03045,290.16,235.2921,293.22,282.19297,293.96,1922.01458,293.83,1620.71499,298.8,1358.99471,307.78,1213.01283
Push,1503278999999,297.8,138.44701,300.7,126.29167,300.8,244.37517,299.1,183.84466,298.76,299.9068,298.19,273.95885,298.4,148.45268,298.13,180.59589,296.39,172.95525,297.27,140.97868,295.39,119.09137,297.88,133.73505,298.2,12.08936,298.57,12.5655,298.56,28.44071,296.88,55.48199,299.1,1519.78418,297.88,361.56695,295.1,67.3647,295.0,240.75968,292.08,252.26228,292.41,68.40092,290.91,73.99638,293.31,127.38589,288.64,288.29994,282.58,1139.03045,290.16,235.2921,293.22,282.19297,293.96,1922.01458,293.83,1620.71499,298.8,1358.99471,307.78,1213.01283
Push,1503280799999,299.0,75.05454,297.8,138.44701,300.7,126.29167,300.8,244.37517,299.1,183.84466,298.76,299.9068,298.19,273.95885,298.4,148.45268,298.13,180.59589,296.39,172.95525,297.27,140.97868,295.39,119.09137,297.88,133.73505,298.2,12.08936,298.57,12.5655,298.56,28.44071,299.1,1519.78418,297.88,361.56695,295.1,67.3647,295.0,240.75968,292.08,252.26228,292.41,68.40092,290.91,73.99638,293.31,127.38589,288.64,288.29994,282.58,1139.03045,290.16,235.2921,293.22,282.19297,293.96,1922.01458,293.83,1620.71499,298.8,1358.99471,307.78,1213.01283
Push,1503282599999,294.8,53.33869,299.0,75.05454,297.8,138.44701,300.7,126.29167,300.8,244.37517,299.1,183.84466,298.76,299.9068,298.19,273.95885,298.4,148.45268,298.13,180.59589,296.39,172.95525,297.27,140.97868,295.39,119.09137,297.88,133.73505,298.2,12.08936,298.57,12.5655,299.1,1519.78418,297.88,361.56695,295.1,67.3647,295.0,240.75968,292.08,252.26228,292.41,68.40092,290.91,73.99638,293.31,127.38589,288.64,288.29994,282.58,1139.03045,290.16,235.2921,293.22,282.19297,293.96,1922.01458,293.83,1620.71499,298.8,1358.99471,307.78,1213.01283
Push,1503289799999,300.5,106.28778,299.85,26.81629,298.65,41.06837,297.51,18.41421,294.8,53.33869,299.0,75.05454,297.8,138.44701,300.7,126.29167,300.8,244.37517,299.1,183.84466,298.76,299.9068,298.19,273.95885,298.4,148.45268,298.13,180.59589,296.39,172.95525,297.27,140.97868,299.85,723.80595,299.1,1519.78418,297.88,361.56695,295.1,67.3647,295.0,240.75968,292.08,252.26228,292.41,68.40092,290.91,73.99638,293.31,127.38589,288.64,288.29994,282.58,1139.03045,290.16,235.2921,293.22,282.19297,293.96,1922.01458,293.83,1620.71499,298.8,1358.99471
Push,1503291599999,303.91,169.37042,300.5,106.28778,299.85,26.81629,298.65,41.06837,297.51,18.41421,294.8,53.33869,299.0,75.05454,297.8,138.44701,300.7,126.29167,300.8,244.37517,299.1,183.84466,298.76,299.9068,298.19,273.95885,298.4,148.45268,298.13,180.59589,296.39,172.95525,299.85,723.80595,299.1,1519.78418,297.88,361.56695,295.1,67.3647,295.0,240.75968,292.08,252.26228,292.41,68.40092,290.91,73.99638,293.31,127.38589,288.64,288.29994,282.58,1139.03045,290.16,235.2921,293.22,282.19297,293.96,1922.01458,293.83,1620.71499,298.8,1358.99471
Pull,1503296999999,329.22,138.06261,314.05,115.13347,307.4,141.37633,303.91,169.37042,300.5,106.28778,299.85,26.81629,298.65,41.06837,297.51,18.41421,294.8,53.33869,299.0,75.05454,297.8,138.44701,300.7,126.29167,300.8,244.37517,299.1,183.84466,298.76,299.9068,298.19,273.95885,299.85,723.80595,299.1,1519.78418,297.88,361.56695,295.1,67.3647,295.0,240.75968,292.08,252.26228,292.41,68.40092,290.91,73.99638,293.31,127.38589,288.64,288.29994,282.58,1139.03045,290.16,235.2921,293.22,282.19297,293.96,1922.01458,293.83,1620.71499,298.8,1358.99471
Push,1503302399999,318.5,77.98584,319.79,45.7084,321.79,94.64628,329.22,138.06261,314.05,115.13347,307.4,141.37633,303.91,169.37042,300.5,106.28778,299.85,26.81629,298.65,41.06837,297.51,18.41421,294.8,53.33869,299.0,75.05454,297.8,138.44701,300.7,126.29167,300.8,244.37517,318.5,888.57113,299.85,723.80595,299.1,1519.78418,297.88,361.56695,295.1,67.3647,295.0,240.75968,292.08,252.26228,292.41,68.40092,290.91,73.99638,293.31,127.38589,288.64,288.29994,282.58,1139.03045,290.16,235.2921,293.22,282.19297,293.96,1922.01458,293.83,1620.71499
Push,1503305999999,318.72,9.88931,323.16,11.62069,318.5,77.98584,319.79,45.7084,321.79,94.64628,329.22,138.06261,314.05,115.13347,307.4,141.37633,303.91,169.37042,300.5,106.28778,299.85,26.81629,298.65,41.06837,297.51,18.41421,294.8,53.33869,299.0,75.05454,297.8,138.44701,318.5,888.57113,299.85,723.80595,299.1,1519.78418,297.88,361.56695,295.1,67.3647,295.0,240.75968,292.08,252.26228,292.41,68.40092,290.91,73.99638,293.31,127.38589,288.64,288.29994,282.58,1139.03045,290.16,235.2921,293.22,282.19297,293.96,1922.01458,293.83,1620.71499
Push,1503307799999,317.85,9.58064,318.72,9.88931,323.16,11.62069,318.5,77.98584,319.79,45.7084,321.79,94.64628,329.22,138.06261,314.05,115.13347,307.4,141.37633,303.91,169.37042,300.5,106.28778,299.85,26.81629,298.65,41.06837,297.51,18.41421,294.8,53.33869,299.0,75.05454,318.5,888.57113,299.85,723.80595,299.1,1519.78418,297.88,361.56695,295.1,67.3647,295.0,240.75968,292.08,252.26228,292.41,68.40092,290.91,73.99638,293.31,127.38589,288.64,288.29994,282.58,1139.03045,290.16,235.2921,293.22,282.19297,293.96,1922.01458,293.83,1620.71499
Push,1503309599999,317.29,13.95664,317.85,9.58064,318.72,9.88931,323.16,11.62069,318.5,77.98584,319.79,45.7084,321.79,94.64628,329.22,138.06261,314.05,115.13347,307.4,141.37633,303.91,169.37042,300.5,106.28778,299.85,26.81629,298.65,41.06837,297.51,18.41421,294.8,53.33869,318.5,888.57113,299.85,723.80595,299.1,1519.78418,297.88,361.56695,295.1,67.3647,295.0,240.75968,292.08,252.26228,292.41,68.40092,290.91,73.99638,293.31,127.38589,288.64,288.29994,282.58,1139.03045,290.16,235.2921,293.22,282.19297,293.96,1922.01458,293.83,1620.71499
Pull,1503311399999,320.0,84.54955,317.29,13.95664,317.85,9.58064,318.72,9.88931,323.16,11.62069,318.5,77.98584,319.79,45.7084,321.79,94.64628,329.22,138.06261,314.05,115.13347,307.4,141.37633,303.91,169.37042,300.5,106.28778,299.85,26.81629,298.65,41.06837,297.51,18.41421,318.5,888.57113,299.85,723.80595,299.1,1519.78418,297.88,361.56695,295.1,67.3647,295.0,240.75968,292.08,252.26228,292.41,68.40092,290.91,73.99638,293.31,127.38589,288.64,288.29994,282.58,1139.03045,290.16,235.2921,293.22,282.19297,293.96,1922.01458,293.83,1620.71499
Push,1503314999999,314.97,14.31584,321.21,0.79645,320.0,84.54955,317.29,13.95664,317.85,9.58064,318.72,9.88931,323.16,11.62069,318.5,77.98584,319.79,45.7084,321.79,94.64628,329.22,138.06261,314.05,115.13347,307.4,141.37633,303.91,169.37042,300.5,106.28778,299.85,26.81629,318.5,888.57113,299.85,723.80595,299.1,1519.78418,297.88,361.56695,295.1,67.3647,295.0,240.75968,292.08,252.26228,292.41,68.40092,290.91,73.99638,293.31,127.38589,288.64,288.29994,282.58,1139.03045,290.16,235.2921,293.22,282.19297,293.96,1922.01458,293.83,1620.71499
Pull,1503318599999,331.3,52.06031,331.53,62.66774,314.97,14.31584,321.21,0.79645,320.0,84.54955,317.29,13.95664,317.85,9.58064,318.72,9.88931,323.16,11.62069,318.5,77.98584,319.79,45.7084,321.79,94.64628,329.22,138.06261,314.05,115.13347,307.4,141.37633,303.91,169.37042,331.53,207.37686,318.5,888.57113,299.85,723.80595,299.1,1519.78418,297.88,361.56695,295.1,67.3647,295.0,240.75968,292.08,252.26228,292.41,68.40092,290.91,73.99638,293.31,127.38589,288.64,288.29994,282.58,1139.03045,290.16,235.2921,293.22,282.19297,293.96,1922.01458
Push,1503341999999,316.82,382.74841,333.53,120.9047,332.33,267.32107,339.5,241.769,338.33,38.24294,338.34,238.67999,334.94,198.90275,331.33,151.37627,334.17,228.53012,334.75,151.41636,346.52,170.1433,337.06,232.24879,331.3,42.76235,331.3,52.06031,331.53,62.66774,314.97,14.31584,334.94,1227.44025,331.53,207.37686,318.5,888.57113,299.85,723.80595,299.1,1519.78418,297.88,361.56695,295.1,67.3647,295.0,240.75968,292.08,252.26228,292.41,68.40092,290.91,73.99638,293.31,127.38589,288.64,288.29994,282.58,1139.03045,290.16,235.2921,293.22,282.19297
Push,1503374399999,280.0,21.80818,314.77,68.23452,312.99,122.55335,315.2,20.93756,309.97,126.98409,322.5,42.74804,323.04,327.89357,319.9,78.45593,323.29,61.43269,318.67,17.98726,318.45,6.36243,323.29,23.47296,326.79,11.16974,318.42,47.28984,325.28,29.40756,325.47,260.05603,280.0,809.61524,323.29,457.17851,329.71,1715.07272,334.94,1227.44025,331.53,207.37686,318.5,888.57113,299.85,723.80595,299.1,1519.78418,297.88,361.56695,295.1,67.3647,295.0,240.75968,292.08,252.26228,292.41,68.40092,290.91,73.99638,293.31,127.38589,288.64,288.29994
Push,1503381599999,279.96,12.13558,303.0,16.16417,287.0,36.37298,302.98,113.54078,280.0,21.80818,314.77,68.23452,312.99,122.55335,315.2,20.93756,309.97,126.98409,322.5,42.74804,323.04,327.89357,319.9,78.45593,323.29,61.43269,318.67,17.98726,318.45,6.36243,323.29,23.47296,280.0,809.61524,323.29,457.17851,329.71,1715.07272,334.94,1227.44025,331.53,207.37686,318.5,888.57113,299.85,723.80595,299.1,1519.78418,297.88,361.56695,295.1,67.3647,295.0,240.75968,292.08,252.26228,292.41,68.40092,290.91,73.99638,293.31,127.38589,288.64,288.29994
Push,1503388799999,300.35,108.69541,297.76,192.55169,305.37,135.71919,309.04,92.29269,279.96,12.13558,303.0,16.16417,287.0,36.37298,302.98,113.54078,280.0,21.80818,314.77,68.23452,312.99,122.55335,315.2,20.93756,309.97,126.98409,322.5,42.74804,323.04,327.89357,319.9,78.45593,300.35,707.47249,280.0,809.61524,323.29,457.17851,329.71,1715.07272,334.94,1227.44025,331.53,207.37686,318.5,888.57113,299.85,723.80595,299.1,1519.78418,297.88,361.56695,295.1,67.3647,295.0,240.75968,292.08,252.26228,292.41,68.40092,290.91,73.99638,293.31,127.38589
Push,1503417599999,308.39,172.8692,307.05,114.20485,305.48,148.9676,304.76,244.12972,307.08,194.08844,307.81,210.68567,311.23,219.52475,307.9,452.36037,308.03,136.92407,311.23,427.66752,310.24,320.69002,311.39,216.98536,308.33,245.64976,309.24,311.9306,299.82,158.69787,300.29,357.57985,308.39,1756.8306,308.03,2176.12505,300.35,707.47249,280.0,809.61524,323.29,457.17851,329.71,1715.07272,334.94,1227.44025,331.53,207.37686,318.5,888.57113,299.85,723.80595,299.1,1519.78418,297.88,361.56695,295.1,67.3647,295.0,240.75968,292.08,252.26228,292.41,68.40092
Push,1503437399999,308.14,121.36286,310.19,46.94061,307.03,204.31715,307.03,159.4656,310.0,64.14999,310.77,290.52856,313.8,87.51884,312.07,122.75301,317.26,124.29643,317.74,363.55656,309.76,91.98211,308.39,172.8692,307.05,114.20485,305.48,148.9676,304.76,244.12972,307.08,194.08844,307.03,1304.2511,308.39,1756.8306,308.03,2176.12505,300.35,707.47249,280.0,809.61524,323.29,457.17851,329.71,1715.07272,334.94,1227.44025,331.53,207.37686,318.5,888.57113,299.85,723.80595,299.1,1519.78418,297.88,361.56695,295.1,67.3647,295.0,240.75968,292.08,252.26228
Pull,1503568799999,318.75,247.3311,319.86,91.85754,320.32,151.14548,319.56,137.88326,318.54,74.90519,317.61,123.84381,320.53,117.58719,319.57,179.12409,318.0,192.7831,319.27,129.21295,316.45,91.32325,317.99,165.29634,315.22,107.74601,315.21,166.56095,315.05,111.15898,317.41,78.9307,318.54,1074.07592,315.22,1061.17398,315.74,1173.57266,318.57,1635.49673,319.2,2106.38559,319.2,1285.87403,319.06,1376.06321,317.26,1088.33347,309.8,1202.0564,307.03,1304.2511,308.39,1756.8306,308.03,2176.12505,300.35,707.47249,280.0,809.61524,323.29,457.17851,329.71,1715.07272
Pull,1503574199999,318.27,118.91599,317.02,296.59698,317.42,334.12035,318.75,247.3311,319.86,91.85754,320.32,151.14548,319.56,137.88326,318.54,74.90519,317.61,123.84381,320.53,117.58719,319.57,179.12409,318.0,192.7831,319.27,129.21295,316.45,91.32325,317.99,165.29634,315.22,107.74601,318.54,1074.07592,315.22,1061.17398,315.74,1173.57266,318.57,1635.49673,319.2,2106.38559,319.2,1285.87403,319.06,1376.06321,317.26,1088.33347,309.8,1202.0564,307.03,1304.2511,308.39,1756.8306,308.03,2176.12505,300.35,707.47249,280.0,809.61524,323.29,457.17851,329.71,1715.07272
Pull,1503577799999,317.93,235.91039,323.61,292.65249,318.27,118.91599,317.02,296.59698,317.42,334.12035,318.75,247.3311,319.86,91.85754,320.32,151.14548,319.56,137.88326,318.54,74.90519,317.61,123.84381,320.53,117.58719,319.57,179.12409,318.0,192.7831,319.27,129.21295,316.45,91.32325,323.61,1670.50319,318.54,1074.07592,315.22,1061.17398,315.74,1173.57266,318.57,1635.49673,319.2,2106.38559,319.2,1285.87403,319.06,1376.06321,317.26,1088.33347,309.8,1202.0564,307.03,1304.2511,308.39,1756.8306,308.03,2176.12505,300.35,707.47249,280.0,809.61524,323.29,457.17851
Pull,1503590399999,321.2,82.19586,321.13,36.38097,320.84,130.04281,323.21,186.18646,324.8,223.86286,320.0,131.82984,322.0,111.63927,317.93,235.91039,323.61,292.65249,318.27,118.91599,317.02,296.59698,317.42,334.12035,318.75,247.3311,319.86,91.85754,320.32,151.14548,319.56,137.88326,321.2,1138.04846,323.61,1670.50319,318.54,1074.07592,315.22,1061.17398,315.74,1173.57266,318.57,1635.49673,319.2,2106.38559,319.2,1285.87403,319.06,1376.06321,317.26,1088.33347,309.8,1202.0564,307.03,1304.2511,308.39,1756.8306,308.03,2176.12505,300.35,707.47249,280.0,809.61524
Pull,1503640799999,331.73,74.40264,332.67,169.89502,331.35,165.0287,327.7,159.07134,326.55,81.04991,325.41,119.20633,328.19,155.61406,325.64,103.02269,328.81,177.04753,327.78,285.26821,325.54,322.33533,323.61,163.30444,323.42,72.7323,322.4,114.91148,323.72,189.91626,321.31,118.17481,326.55,1406.8485,323.42,900.34445,321.23,909.12592,321.2,1138.04846,323.61,1670.50319,318.54,1074.07592,315.22,1061.17398,315.74,1173.57266,318.57,1635.49673,319.2,2106.38559,319.2,1285.87403,319.06,1376.06321,317.26,1088.33347,309.8,1202.0564,307.03,1304.2511,308.39,1756.8306
Pull,1503651599999,334.17,179.11225,330.49,139.15784,330.29,121.45946,334.34,200.59416,330.17,146.93691,330.03,78.21869,331.73,74.40264,332.67,169.89502,331.35,165.0287,327.7,159.07134,326.55,81.04991,325.41,119.20633,328.19,155.61406,325.64,103.02269,328.81,177.04753,327.78,285.26821,330.29,1115.60692,326.55,1406.8485,323.42,900.34445,321.23,909.12592,321.2,1138.04846,323.61,1670.50319,318.54,1074.07592,315.22,1061.17398,315.74,1173.57266,318.57,1635.49673,319.2,2106.38559,319.2,1285.87403,319.06,1376.06321,317.26,1088.33347,309.8,1202.0564,307.03,1304.2511
Pull,1503653399999,335.32,124.29071,334.17,179.11225,330.49,139.15784,330.29,121.45946,334.34,200.59416,330.17,146.93691,330.03,78.21869,331.73,74.40264,332.67,169.89502,331.35,165.0287,327.7,159.07134,326.55,81.04991,325.41,119.20633,328.19,155.61406,325.64,103.02269,328.81,177.04753,330.29,1115.60692,326.55,1406.8485,323.42,900.34445,321.23,909.12592,321.2,1138.04846,323.61,1670.50319,318.54,1074.07592,315.22,1061.17398,315.74,1173.57266,318.57,1635.49673,319.2,2106.38559,319.2,1285.87403,319.06,1376.06321,317.26,1088.33347,309.8,1202.0564,307.03,1304.2511
